engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions,make_type,vehicle_class_type
2.0,4,M6,Z,10.4,6.7,8.7,32,200.0,Premium,Hatchback
3.0,6,AS8,Z,15.1,10.2,12.9,22,302.0,Sports,Sedan
2.0,4,AV,X,9.5,7.2,8.5,33,196.0,General,SUV
3.0,6,AS8,Z,14.2,10.2,12.4,23,291.0,Premium,SUV
3.0,6,A9,Z,12.4,9.3,11.0,26,259.0,Premium,Sedan
4.7,8,AS7,Z,14.6,9.6,12.3,23,289.0,Premium,Sedan
2.5,4,AS6,X,10.2,7.6,9.0,31,211.0,General,Hatchback
5.7,8,AS6,X,18.4,13.8,16.4,17,384.0,General,SUV
2.5,4,AS8,X,8.4,6.0,7.3,39,172.0,General,Sedan
2.0,4,AM7,X,9.7,7.5,8.7,32,203.0,General,Hatchback
4.7,8,M6,Z,18.1,12.3,15.5,18,362.0,Sports,Sedan
3.0,6,A8,D,11.2,8.4,9.9,29,267.0,Premium,SUV
6.2,8,M6,Z,14.3,9.4,12.1,23,284.0,General,Hatchback
3.5,6,AS6,X,16.2,12.8,14.6,19,344.0,General,Truck
4.2,8,M6,Z,21.2,13.4,17.7,16,407.0,Premium,Sedan
2.0,4,AS6,X,11.0,9.0,10.1,28,240.0,General,SUV
3.6,6,AS8,Z,14.7,9.8,12.5,23,293.0,Premium,Sedan
3.0,6,A9,Z,14.0,10.6,12.4,23,292.0,Premium,SUV
3.6,6,A5,X,14.1,11.1,12.8,22,294.0,Premium,SUV
3.6,6,A8,Z,13.5,9.7,11.8,24,277.0,Sports,SUV
2.0,4,AV,X,5.3,5.7,5.5,47,126.0,General,Sedan
1.5,4,AV,X,8.4,7.0,7.8,36,181.0,General,SUV
3.6,6,AS9,X,13.7,9.4,11.8,24,276.0,General,SUV
4.0,8,AM7,Z,15.0,10.0,12.8,22,298.0,Premium,Sedan
3.7,6,AS6,E,21.6,14.500000000000002,18.4,14,315.0,General,Truck
2.0,4,AS8,Z,10.5,6.9,8.9,32,209.0,Premium,Sedan
3.5,6,AS6,X,14.7,9.8,12.5,23,293.0,General,Sedan
2.8,4,A6,D,12.1,8.4,10.4,27,280.0,General,Truck
1.4,4,M5,X,8.0,6.0,7.1,40,166.0,General,Hatchback
4.0,8,AM8,Z,12.8,9.2,11.2,25,261.0,Sports,Sedan
3.6,6,AS8,X,13.7,10.1,12.1,23,282.0,General,SUV
2.0,4,AS6,X,10.8,7.5,9.3,30,220.0,Luxury,Sedan
2.0,4,M5,X,9.1,6.6,8.0,35,184.0,General,Hatchback
3.5,6,AS6,X,12.5,9.0,10.9,26,256.0,General,SUV
1.5,4,A6,X,9.8,7.9,8.9,32,209.0,General,SUV
2.5,4,AV7,X,8.9,8.4,8.7,32,204.0,Premium,SUV
4.7,8,A9,Z,17.2,12.6,15.1,19,355.0,Premium,SUV
2.0,4,M6,X,10.2,7.3,8.9,32,205.0,General,Hatchback
6.0,9,A8,Z,17.5,11.4,14.7,19,346.0,Sports,Hatchback
1.8,4,AV,X,5.5,5.9,5.7,47,132.0,Premium,Hatchback
2.0,4,AS6,Z,11.4,7.9,9.8,29,225.0,Premium,Hatchback
3.6,6,M6,X,14.2,8.6,11.7,24,269.0,General,Hatchback
6.25,9,AS8,Z,19.2,12.4,16.1,18,373.0,Luxury,Sedan
4.4,8,AS8,Z,16.6,12.1,14.6,19,341.0,Premium,SUV
5.0,8,A8,Z,15.7,10.2,13.2,21,304.0,General,Sedan
1.4,4,AS8,X,8.6,6.5,7.6,37,178.0,General,Sedan
2.5,4,AS6,X,10.7,8.4,9.7,29,226.0,General,SUV
4.4,8,AS8,Z,16.0,11.0,13.8,20,322.0,Premium,Sedan
5.5,8,AS7,Z,15.1,10.8,13.1,22,301.0,Premium,Hatchback
3.6,6,A8,X,12.4,7.8,10.3,27,242.0,Premium,Sedan
2.5,4,M6,X,12.2,9.2,10.9,26,254.0,General,Truck
2.3,4,AS6,X,13.1,9.2,11.4,25,267.0,General,SUV
3.8,6,AM7,Z,12.7,9.9,11.4,25,267.0,Sports,Hatchback
6.0,8,A6,E,21.6,14.500000000000002,18.4,11,410.5,Premium,Truck
3.6,6,AS6,Z,14.8,9.8,12.6,22,290.0,Premium,Sedan
2.0,4,AM6,Z,10.0,7.3,8.8,32,202.0,General,Hatchback
5.0,8,AS8,Z,15.0,10.2,12.8,22,294.0,Sports,Sedan
1.4,4,M6,X,9.5,6.9,8.3,34,194.0,General,SUV
5.0,8,AS6,E,20.6,14.3,17.8,16,292.0,General,Truck
3.4,6,M7,Z,12.3,8.7,10.7,26,251.0,Sports,Hatchback
4.4,8,AS8,Z,14.7,9.7,12.5,23,292.0,Premium,Hatchback
2.0,4,A6,Z,10.4,7.6,9.1,31,209.0,Premium,Sedan
2.0,4,A7,Z,11.6,9.3,10.6,27,248.0,Sports,SUV
4.0,8,AM7,Z,15.2,11.4,13.5,21,315.0,Premium,Sedan
5.6,8,AS7,Z,14.9,10.2,12.8,22,300.0,Premium,Sedan
3.8,6,AM6,Z,14.3,10.5,12.6,22,294.0,General,Hatchback
1.2,3,AV,X,6.6,5.6,6.2,46,143.0,General,Hatchback
2.0,4,AS8,Z,11.0,7.8,9.6,29,224.0,Premium,Hatchback
1.8,4,M6,X,9.4,7.1,8.4,34,195.0,General,Sedan
4.0,8,A8,Z,13.1,9.6,11.5,25,270.0,Sports,Sedan
5.3,8,A6,E,21.6,14.500000000000002,18.4,14,326.0,Premium,Truck
3.0,6,AS8,Z,16.6,12.1,14.6,19,339.0,Premium,SUV
