iter	RMSE
0	52.84323411
1	48.73107214
2	44.8568171
3	41.02451987
4	37.86150112
5	35.09566052
6	32.63040676
7	30.19409525
8	28.27783007
9	26.15855617
10	24.52286306
11	22.94561015
12	21.29514943
13	19.77694628
14	18.39859075
15	17.1694779
16	16.07447669
17	15.05026526
18	14.08109265
19	13.24091322
20	12.63193406
21	12.10730134
22	11.4232225
23	10.78496333
24	10.27732815
25	9.716996815
26	9.218584748
27	8.794718588
28	8.397133202
29	8.082240254
30	7.861248518
31	7.560283269
32	7.240338706
33	6.980066911
34	6.811605743
35	6.587458977
36	6.399609143
37	6.225002194
38	6.069366991
39	5.917227387
40	5.76331305
41	5.656457859
42	5.50503813
43	5.415527866
44	5.301320178
45	5.20937718
46	5.136827255
47	5.032903005
48	4.962560896
49	4.865369161
50	4.776224614
51	4.724264918
52	4.679676701
53	4.593717493
54	4.546788845
55	4.502329316
56	4.449892491
57	4.393082344
58	4.343939462
59	4.298469818
60	4.256509975
61	4.216939976
62	4.167143725
63	4.129885294
64	4.107045306
65	4.077132498
66	4.040498961
67	4.017185431
68	3.988971942
69	3.97006507
70	3.954185748
71	3.935806936
72	3.90927248
73	3.89411377
74	3.863386007
75	3.831571641
76	3.806888653
77	3.788420278
78	3.772762123
79	3.744574087
80	3.720309034
81	3.715852814
82	3.704466329
83	3.691454402
84	3.681762691
85	3.677404264
86	3.654441719
87	3.633195289
88	3.626969563
89	3.623909576
90	3.603244361
91	3.598154204
92	3.594782607
93	3.592279136
94	3.589827354
95	3.56632156
96	3.549989334
97	3.531958233
98	3.512427723
99	3.510331527
