iter	Passed	Remaining
0	3	305
1	6	318
2	8	283
3	11	266
4	13	254
5	16	261
6	18	248
7	21	241
8	23	238
9	26	237
10	28	232
11	31	231
12	34	233
13	36	226
14	40	229
15	43	226
16	46	227
17	49	225
18	51	221
19	54	217
20	56	212
21	59	210
22	62	208
23	64	203
24	66	198
25	69	196
26	72	195
27	74	192
28	76	188
29	79	185
30	81	181
31	83	177
32	85	173
33	87	169
34	89	166
35	91	163
36	93	159
37	95	155
38	97	152
39	100	150
40	102	147
41	105	145
42	107	141
43	108	138
44	110	135
45	113	132
46	115	130
47	118	127
48	119	124
49	122	122
50	123	119
51	126	116
52	128	113
53	130	111
54	146	120
55	150	117
56	152	114
57	154	111
58	156	108
59	158	105
60	160	102
61	162	99
62	164	96
63	166	93
64	169	91
65	171	88
66	173	85
67	176	83
68	178	80
69	180	77
70	184	75
71	186	72
72	189	69
73	192	67
74	194	64
75	196	62
76	200	59
77	202	57
78	204	54
79	206	51
80	208	48
81	210	46
82	213	43
83	216	41
84	219	38
85	222	36
86	224	33
87	226	30
88	229	28
89	231	25
90	233	23
91	235	20
92	237	17
93	239	15
94	241	12
95	243	10
96	244	7
97	246	5
98	248	2
99	250	0
