iter	RMSE
0	55.44737939
1	52.97682944
2	50.62993932
3	48.38136915
4	46.1904288
5	44.24059425
6	42.22023523
7	40.37698165
8	38.5266966
9	36.85921006
10	35.35875449
11	33.76366732
12	32.2757345
13	30.87265372
14	29.54591571
15	28.30868297
16	27.05486049
17	25.85232393
18	24.82989497
19	23.86889407
20	22.85967945
21	21.91170507
22	21.07429705
23	20.20865666
24	19.40585695
25	18.6084813
26	17.87344963
27	17.16044443
28	16.49292745
29	15.89904443
30	15.27302997
31	14.6980849
32	14.19028341
33	13.71779276
34	13.20740536
35	12.7432897
36	12.33271614
37	11.92807584
38	11.51141767
39	11.12842417
40	10.77044582
41	10.40048658
42	10.06520619
43	9.750925642
44	9.466413537
45	9.176699361
46	8.919352602
47	8.651572358
48	8.412558712
49	8.165989133
50	7.93009326
51	7.700613623
52	7.519423654
53	7.344750179
54	7.167159313
55	6.970748821
56	6.802193554
57	6.667637015
58	6.528207101
59	6.390723676
60	6.245872724
61	6.107521153
62	5.98358639
63	5.853640323
64	5.737713486
65	5.631895984
66	5.532330293
67	5.433266121
68	5.348890492
69	5.272502875
70	5.201626296
71	5.123496383
72	5.046057271
73	4.97623474
74	4.912449519
75	4.852379099
76	4.791292338
77	4.731901828
78	4.682648687
79	4.638143637
80	4.593979457
81	4.542958931
82	4.506755836
83	4.47069188
84	4.430945823
85	4.397068719
86	4.359604838
87	4.322994446
88	4.288954126
89	4.263029796
90	4.228310826
91	4.199547375
92	4.166852629
93	4.139860273
94	4.102798001
95	4.074568951
96	4.051213705
97	4.029870749
98	4.004035338
99	3.983151743
100	3.952354336
101	3.933763863
102	3.915417138
103	3.892540308
104	3.867597546
105	3.851682847
106	3.826748249
107	3.811086076
108	3.796771486
109	3.781052226
110	3.765290278
111	3.749170003
112	3.726932429
113	3.710100142
114	3.694677385
115	3.679604843
116	3.668531254
117	3.654915593
118	3.637847429
119	3.623823974
120	3.613642051
121	3.60309222
122	3.590343631
123	3.574192695
124	3.566063485
125	3.555093522
126	3.542516345
127	3.534651961
128	3.528329673
129	3.51798887
130	3.508528589
131	3.499751599
132	3.493448889
133	3.490973245
134	3.482889688
135	3.474263357
136	3.461434835
137	3.447118284
138	3.43564469
139	3.425731486
140	3.417439456
141	3.412407068
142	3.405407161
143	3.399165679
144	3.386138223
145	3.380396182
146	3.373488718
147	3.366999418
148	3.357896491
149	3.348280864
150	3.338198459
151	3.332454362
152	3.32613978
153	3.31860711
154	3.313744907
155	3.307961979
156	3.303419142
157	3.297447411
158	3.291525424
159	3.285552465
160	3.27870655
161	3.275083662
162	3.267686086
163	3.261651874
164	3.256020148
165	3.248240077
166	3.243551055
167	3.23975916
168	3.233976832
169	3.225439365
170	3.220273407
171	3.213319768
172	3.207277042
173	3.201241921
174	3.197235395
175	3.191540339
176	3.187069751
177	3.183911142
178	3.17845268
179	3.174513208
180	3.16964699
181	3.164611035
182	3.158349654
183	3.153183184
184	3.14784665
185	3.142453126
186	3.137496958
187	3.131240518
188	3.127760173
189	3.124080187
190	3.118398383
191	3.115395863
